model,split,step,loss
Qwen3-8B LoRA,train,40,0.0814330280
Qwen3-8B LoRA,train,50,0.0690066159
Qwen3-8B LoRA,train,60,0.0616761804
Qwen3-8B LoRA,train,70,0.0752728224
Qwen3-8B LoRA,train,80,0.0627504766
Qwen3-8B LoRA,train,90,0.0675506771
Qwen3-8B LoRA,train,100,0.0501837850
Qwen3-8B LoRA,train,110,0.0409953922
Qwen3-8B LoRA,train,120,0.0411295176
Qwen3-8B LoRA,train,130,0.0400513858
Qwen3-8B LoRA,train,140,0.0473861367
Qwen3-8B LoRA,train,150,0.0440204769
Qwen3-8B LoRA,train,160,0.0430167526
Qwen3-8B LoRA,train,170,0.0372625083
Qwen3-8B LoRA,train,180,0.0364172518
Qwen3-8B LoRA,train,190,0.0303337246
Qwen3-8B LoRA,train,200,0.0351983309
Qwen3-8B LoRA,train,210,0.0285119116
Qwen3-8B LoRA,train,220,0.0221344560
Qwen3-8B LoRA,train,230,0.0208665550
Qwen3-8B LoRA,train,240,0.0236068413
Qwen3-8B LoRA,train,250,0.0240108222
Qwen3-8B LoRA,train,260,0.0178380713
Qwen3-8B LoRA,train,270,0.0242866471
Qwen3-8B LoRA,train,280,0.0159410343
Qwen3-8B LoRA,train,290,0.0229109049
Qwen3-8B LoRA,validation,100,0.0464852452
Qwen3-8B LoRA,validation,200,0.0404120497
Qwen3-8B LoRA,validation,291,0.0454587266
