metric,value
max_observed_depth,9
avg_max_depth,2.261667
json_parse_success,0.999167
schema_valid,0.999167
substring_valid,0.9975
depth_compliant,0.999167
forbidden_role_count,0.003333
node_count,4.008333
attribute_count,0.926667
child_link_count,1.753333
judge_unit_count,6.688333
judge_coverage,1
correct_unit_yield,18.083333
strict_unit_precision,0.978678
role_correctness,0.985242
attachment_correctness,0.99414
sample_count,300
span_count,828
