selection_rank,k,anchor_all_precision,anchor_all_recall,anchor_all_f1,delta_anchor_vs_fixed,delta_anchor_vs_random_same_k,detection_f1,strict_all_f1_auxiliary,anchor_detected_only_f1
1,1,0.648936170212766,0.5,0.5648148148148148,0.014219576719576632,0.021725383920505936,0.8527131782945736,0.4845679012345678,0.6455026455026456
2,3,0.6158940397350994,0.5081967213114754,0.5568862275449101,0.006290989449671991,0.026141890975330706,0.8505747126436781,0.4970059880239521,0.6424870466321244
3,5,0.5904761904761905,0.5081967213114754,0.5462555066079295,-0.004339731487308596,0.014854540424354634,0.8425047438330171,0.48164464023494863,0.6326530612244899
